# Two Dipoles. Parallel case. Opposite moments. $l=1$, $h=1$
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_mx,d1_my,d2_rx,d2_ry,d2_mx,d2_my,sum_zeta_square
48.999999,-1.481110,3.100054,-0.663095,0.616675,2.481110,-2.100054,0.663095,-0.616675,1.639966
49.999999,-1.560231,3.173465,-0.663004,0.616502,2.560231,-2.173465,0.663004,-0.616502,1.639298
50.999999,-1.639362,3.246895,-0.662922,0.616350,2.639362,-2.246895,0.662922,-0.616350,1.638706
51.999999,-1.718503,3.320342,-0.662849,0.616216,2.718503,-2.320342,0.662849,-0.616216,1.638180
52.999999,-1.797652,3.393804,-0.662782,0.616098,2.797652,-2.393804,0.662782,-0.616098,1.637712
53.999999,-1.876809,3.467280,-0.662721,0.615993,2.876809,-2.467280,0.662721,-0.615993,1.637292
54.999999,-1.955972,3.540767,-0.662666,0.615899,2.955972,-2.540767,0.662666,-0.615899,1.636917
55.999999,-2.035142,3.614265,-0.662616,0.615816,3.035142,-2.614265,0.662616,-0.615816,1.636579
56.999999,-2.114317,3.687772,-0.662571,0.615741,3.114317,-2.687772,0.662571,-0.615741,1.636274
57.999999,-2.193498,3.761288,-0.662529,0.615674,3.193498,-2.761288,0.662529,-0.615674,1.635999
58.999999,-2.272683,3.834811,-0.662491,0.615613,3.272683,-2.834811,0.662491,-0.615613,1.635749
59.999999,-2.351873,3.908341,-0.662457,0.615559,3.351873,-2.908341,0.662457,-0.615559,1.635523
60.999999,-2.431067,3.981878,-0.662425,0.615509,3.431067,-2.981878,0.662425,-0.615509,1.635317
61.999999,-2.510264,4.055420,-0.662395,0.615465,3.510264,-3.055420,0.662395,-0.615465,1.635129
62.999999,-2.589465,4.128967,-0.662369,0.615424,3.589465,-3.128967,0.662369,-0.615424,1.634957
63.999999,-2.668669,4.202518,-0.662344,0.615387,3.668669,-3.202518,0.662344,-0.615387,1.634800
64.999999,-2.747875,4.276074,-0.662321,0.615353,3.747875,-3.276074,0.662321,-0.615353,1.634656
65.999999,-2.827085,4.349634,-0.662300,0.615322,3.827085,-3.349634,0.662300,-0.615322,1.634523
66.999999,-2.906296,4.423198,-0.662280,0.615294,3.906296,-3.423198,0.662280,-0.615294,1.634402
67.999998,-2.985510,4.496764,-0.662262,0.615267,3.985510,-3.496764,0.662262,-0.615267,1.634289
68.999998,-3.064726,4.570334,-0.662245,0.615243,4.064726,-3.570334,0.662245,-0.615243,1.634186
69.999998,-3.143944,4.643906,-0.662229,0.615221,4.143944,-3.643906,0.662229,-0.615221,1.634090
70.999998,-3.223164,4.717481,-0.662215,0.615201,4.223164,-3.717481,0.662215,-0.615201,1.634001
71.999998,-3.302386,4.791059,-0.662201,0.615182,4.302386,-3.791059,0.662201,-0.615182,1.633919
72.999998,-3.381609,4.864638,-0.662188,0.615165,4.381609,-3.864638,0.662188,-0.615165,1.633842
73.999998,-3.460833,4.938220,-0.662176,0.615149,4.460833,-3.938220,0.662176,-0.615149,1.633771
74.999998,-3.540059,5.011803,-0.662165,0.615134,4.540059,-4.011803,0.662165,-0.615134,1.633705
75.999998,-3.619286,5.085388,-0.662155,0.615120,4.619286,-4.085388,0.662155,-0.615120,1.633643
76.999998,-3.698515,5.158974,-0.662145,0.615107,4.698515,-4.158974,0.662145,-0.615107,1.633586
77.999998,-3.777744,5.232563,-0.662136,0.615095,4.777744,-4.232563,0.662136,-0.615095,1.633532
78.999998,-3.856975,5.306152,-0.662128,0.615083,4.856975,-4.306152,0.662128,-0.615083,1.633481
79.999998,-3.936207,5.379743,-0.662120,0.615073,4.936207,-4.379743,0.662120,-0.615073,1.633434
80.999998,-4.015439,5.453335,-0.662112,0.615063,5.015439,-4.453335,0.662112,-0.615063,1.633390
81.999998,-4.094672,5.526928,-0.662105,0.615054,5.094672,-4.526928,0.662105,-0.615054,1.633349
82.999998,-4.173907,5.600522,-0.662098,0.615045,5.173907,-4.600522,0.662098,-0.615045,1.633310
83.999998,-4.253142,5.674118,-0.662092,0.615037,5.253142,-4.674118,0.662092,-0.615037,1.633273
84.999998,-4.332377,5.747714,-0.662086,0.615030,5.332377,-4.747714,0.662086,-0.615030,1.633239
85.999998,-4.411614,5.821311,-0.662080,0.615022,5.411614,-4.821311,0.662080,-0.615022,1.633206
86.999998,-4.490851,5.894909,-0.662075,0.615016,5.490851,-4.894909,0.662075,-0.615016,1.633176
87.999998,-4.570088,5.968508,-0.662070,0.615009,5.570088,-4.968508,0.662070,-0.615009,1.633147
88.999998,-4.649327,6.042107,-0.662065,0.615004,5.649327,-5.042107,0.662065,-0.615004,1.633120
89.999998,-4.728565,6.115707,-0.662061,0.614998,5.728565,-5.115707,0.662061,-0.614998,1.633094
90.999998,-4.807805,6.189308,-0.662057,0.614993,5.807805,-5.189308,0.662057,-0.614993,1.633070
91.999998,-4.887045,6.262909,-0.662053,0.614988,5.887045,-5.262909,0.662053,-0.614988,1.633047
92.999998,-4.966285,6.336511,-0.662049,0.614983,5.966285,-5.336511,0.662049,-0.614983,1.633025
93.999998,-5.045526,6.410114,-0.662045,0.614978,6.045526,-5.410114,0.662045,-0.614978,1.633004
94.999998,-5.124767,6.483717,-0.662042,0.614974,6.124767,-5.483717,0.662042,-0.614974,1.632985
95.999998,-5.204008,6.557320,-0.662038,0.614970,6.204008,-5.557320,0.662038,-0.614970,1.632966
96.999998,-5.283250,6.630924,-0.662035,0.614966,6.283250,-5.630924,0.662035,-0.614966,1.632948
97.999998,-5.362493,6.704529,-0.662032,0.614963,6.362493,-5.704529,0.662032,-0.614963,1.632931
98.999998,-5.441735,6.778133,-0.662029,0.614959,6.441735,-5.778133,0.662029,-0.614959,1.632915
99.999998,-5.520978,6.851739,-0.662027,0.614956,6.520978,-5.851739,0.662027,-0.614956,1.632900
