# Two Dipoles. Collinear case. Opposite moments. $l=5$
# Commit: 2026-08-08-4-g5e9f416
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-08-14 01:33:43
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z
47.999999,2.497880,257.725943,2.502120,-257.725943,132845.323719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48.999999,2.498332,299.816852,2.501668,-299.816852,179780.290023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49.999999,2.498787,342.251325,2.501213,-342.251325,234271.939056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.999999,2.499190,379.841053,2.500810,-379.841053,288558.451166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51.999999,2.499500,408.743413,2.500500,-408.743413,334142.354628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52.999999,2.499709,428.296373,2.500291,-428.296373,366875.565878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
53.999999,2.499838,440.295775,2.500162,-440.295775,387720.739336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54.999999,2.499912,447.197467,2.500088,-447.197467,399971.149248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55.999999,2.499953,451.014499,2.500047,-451.014499,406828.157388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56.999999,2.499975,453.078923,2.500025,-453.078923,410561.021278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
57.999999,2.499987,454.181833,2.500013,-454.181833,412562.275120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58.999999,2.499993,454.767172,2.500007,-454.767172,413626.360804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59.999999,2.499996,455.076729,2.500004,-455.076729,414189.658850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60.999999,2.499998,455.240133,2.500002,-455.240133,414487.157869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61.999999,2.499999,455.326303,2.500001,-455.326303,414644.084489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62.999999,2.499999,455.371720,2.500001,-455.371720,414726.807191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63.999999,2.500000,455.395652,2.500000,-455.395652,414770.398870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.999999,2.500000,455.408260,2.500000,-455.408260,414793.365847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65.999999,2.500000,455.414902,2.500000,-455.414902,414805.465214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66.999999,2.500000,455.418401,2.500000,-455.418401,414811.839031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67.999998,2.500000,455.420244,2.500000,-455.420244,414815.196601,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.999998,2.500000,455.421215,2.500000,-455.421215,414816.965262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69.999998,2.500000,455.421726,2.500000,-455.421726,414817.896928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70.999998,2.500000,455.421995,2.500000,-455.421995,414818.387695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
