# Two Dipoles. Perpendicular moments. $l=2$, $h=-2$
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_mx,d1_my,d2_rx,d2_ry,d2_mx,d2_my,sum_zeta_square
49.999999,5.635428,3.830204,0.492463,0.507537,5.830204,3.635428,0.507537,0.492463,1.000227
50.999999,5.749806,3.944797,0.466683,0.533317,5.944797,3.749806,0.533317,0.466683,1.004440
51.999999,5.864027,4.059510,0.440955,0.559045,6.059510,3.864027,0.559045,0.440955,1.013945
52.999999,5.978077,4.174329,0.415319,0.584681,6.174329,3.978077,0.584681,0.415319,1.028683
53.999999,6.091938,4.289244,0.389815,0.610185,6.289244,4.091938,0.610185,0.389815,1.048563
54.999999,6.205591,4.404241,0.364484,0.635516,6.404241,4.205591,0.635516,0.364484,1.073459
55.999999,6.319016,4.519310,0.339364,0.660636,6.519310,4.319016,0.660636,0.339364,1.103216
56.999999,6.432190,4.634440,0.314495,0.685505,6.634440,4.432190,0.685505,0.314495,1.137649
57.999999,6.545088,4.749621,0.289917,0.710083,6.749621,4.545088,0.710083,0.289917,1.176540
58.999999,6.657684,4.864840,0.265668,0.734332,6.864840,4.657684,0.734332,0.265668,1.219645
59.999999,6.769946,4.980089,0.241789,0.758211,6.980089,4.769946,0.758211,0.241789,1.266692
60.999999,6.881843,5.095355,0.218316,0.781684,7.095355,4.881843,0.781684,0.218316,1.317383
61.999999,6.993335,5.210628,0.195289,0.804711,7.210628,4.993335,0.804711,0.195289,1.371395
62.999999,7.104381,5.325896,0.172746,0.827254,7.325896,5.104381,0.827254,0.172746,1.428382
63.999999,7.214933,5.441147,0.150723,0.849277,7.441147,5.214933,0.849277,0.150723,1.487977
64.999999,7.324937,5.556368,0.129260,0.870740,7.556368,5.324937,0.870740,0.129260,1.549793
65.999999,7.434334,5.671547,0.108393,0.891607,7.671547,5.434334,0.891607,0.108393,1.613425
66.999999,7.543053,5.786667,0.088159,0.911841,7.786667,5.543053,0.911841,0.088159,1.678451
67.999998,7.651016,5.901714,0.068597,0.931403,7.901714,5.651016,0.931403,0.068597,1.744434
68.999998,7.758132,6.016669,0.049744,0.950256,8.016669,5.758132,0.950256,0.049744,1.810921
69.999998,7.864296,6.131514,0.031639,0.968361,8.131514,5.864296,0.968361,0.031639,1.877448
70.999998,7.969388,6.246227,0.014321,0.985679,8.246227,5.969388,0.985679,0.014321,1.943538
71.999998,8.073269,6.360784,-0.002170,1.002170,8.360784,6.073269,1.002170,-0.002170,2.008701
72.999998,8.175775,6.475157,-0.017792,1.017792,8.475157,6.175775,1.017792,-0.017792,2.072433
73.999998,8.276718,6.589317,-0.032499,1.032499,8.589317,6.276718,1.032499,-0.032499,2.134219
74.999998,8.375876,6.703228,-0.046243,1.046243,8.703228,6.375876,1.046243,-0.046243,2.193524
