# Two Dipoles. Parallel case. Opposite moments. $l=4$, $h=0.2$
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_mx,d1_my,d2_rx,d2_ry,d2_mx,d2_my,sum_zeta_square
48.999999,2.000432,0.099704,-175.792625,359.414632,1.999568,0.100296,175.792625,-359.414632,320163.849445
49.999999,2.000334,0.099913,-204.877804,362.621028,1.999666,0.100087,204.877804,-362.621028,346937.848727
50.999999,2.000250,0.100062,-230.438343,356.600727,1.999750,0.099938,230.438343,-356.600727,360531.816609
51.999999,2.000167,0.100183,-251.762786,343.015009,1.999833,0.099817,251.762786,-343.015009,362087.594272
52.999999,2.000065,0.100308,-267.823691,322.754941,1.999935,0.099692,267.823691,-322.754941,351800.562519
53.999999,1.999919,0.100461,-276.964874,296.004738,2.000081,0.099539,276.964874,-296.004738,328656.692575
54.999999,1.999702,0.100657,-277.255891,263.010859,2.000298,0.099343,277.255891,-263.010859,292091.082507
55.999999,1.999401,0.100891,-267.692174,225.197037,2.000599,0.099109,267.692174,-225.197037,244745.610850
56.999999,1.999029,0.101138,-249.534976,185.664729,2.000971,0.098862,249.534976,-185.664729,193478.191770
57.999999,1.998621,0.101362,-226.221017,148.176804,2.001379,0.098638,226.221017,-148.176804,146264.627186
58.999999,1.998218,0.101536,-201.624375,115.452293,2.001782,0.098464,201.624375,-115.452293,107963.240883
59.999999,1.997782,0.101683,-178.282370,88.359808,2.002218,0.098317,178.282370,-88.359808,79184.118290
60.999999,1.997171,0.101863,-156.273946,66.104864,2.002829,0.098137,156.273946,-66.104864,57582.798806
61.999999,1.996404,0.102042,-135.548323,47.973799,2.003596,0.097958,135.548323,-47.973799,41349.666346
62.999999,1.995546,0.102177,-116.616481,33.545180,2.004454,0.097823,116.616481,-33.545180,29449.365548
63.999999,1.994509,0.102275,-99.802091,22.313754,2.005491,0.097725,99.802091,-22.313754,20916.722121
64.999999,1.993251,0.102320,-84.908479,13.682968,2.006749,0.097680,84.908479,-13.682968,14793.346961
65.999999,1.991778,0.102277,-71.900095,7.180232,2.008222,0.097723,71.900095,-7.180232,10442.358798
66.999999,1.990024,0.102121,-60.606724,2.379289,2.009976,0.097879,60.606724,-2.379289,7357.672121
67.999998,1.987941,0.101808,-50.875976,-1.074182,2.012059,0.098192,50.875976,1.074182,5179.037581
68.999998,1.985492,0.101284,-42.536964,-3.474819,2.014508,0.098716,42.536964,3.474819,3642.935400
69.999998,1.982619,0.100483,-35.426267,-5.062875,2.017381,0.099517,35.426267,5.062875,2561.306151
70.999998,1.979254,0.099322,-29.390744,-6.032341,2.020746,0.100678,29.390744,6.032341,1800.409953
71.999998,1.975336,0.097697,-24.289457,-6.538301,2.024664,0.102303,24.289457,6.538301,1265.454191
72.999998,1.970790,0.095480,-19.995418,-6.703697,2.029210,0.104520,19.995418,6.703697,889.512600
73.999998,1.965540,0.092512,-16.395109,-6.625038,2.034460,0.107488,16.395109,6.625038,625.381428
74.999998,1.959509,0.088602,-13.388239,-6.377395,2.040491,0.111398,13.388239,6.377395,439.832229
75.999998,1.952616,0.083517,-10.886902,-6.018566,2.047384,0.116483,10.886902,6.018566,309.495521
76.999998,1.944785,0.076975,-8.814438,-5.592496,2.055215,0.123025,8.814438,5.592496,217.940655
77.999998,1.935944,0.068639,-7.104573,-5.132170,2.064056,0.131361,7.104573,5.132170,153.628257
78.999998,1.926033,0.058109,-5.700151,-4.661908,2.073967,0.141891,5.700151,4.661908,108.450206
79.999998,1.915011,0.044915,-4.552137,-4.199265,2.084989,0.155085,4.552137,4.199265,76.711554
80.999998,1.902857,0.028513,-3.618649,-3.756571,2.097143,0.171487,3.618649,3.756571,54.412897
81.999998,1.889583,0.008278,-2.864045,-3.342153,2.110417,0.191722,2.864045,3.342153,38.745478
82.999998,1.875236,-0.016486,-2.258092,-2.961317,2.124764,0.216486,2.258092,2.961317,27.736759
83.999998,1.859903,-0.046534,-1.775221,-2.617122,2.140097,0.246534,1.775221,2.617122,20.001473
84.999998,1.843700,-0.082655,-1.393852,-2.310965,2.156300,0.282655,1.393852,2.310965,14.566768
85.999998,1.826764,-0.125622,-1.095792,-2.043028,2.173236,0.325622,1.095792,2.043028,10.749452
86.999998,1.809218,-0.176121,-0.865710,-1.812577,2.190782,0.376121,0.865710,1.812577,8.069775
87.999998,1.791133,-0.234666,-0.690669,-1.618149,2.208867,0.434666,0.690669,1.618149,6.190859
88.999998,1.772492,-0.301499,-0.559742,-1.457649,2.227508,0.501499,0.559742,1.457649,4.876103
89.999998,1.753169,-0.376503,-0.463684,-1.328378,2.246831,0.576503,0.463684,1.328378,3.959184
90.999998,1.732957,-0.459171,-0.394696,-1.227057,2.267043,0.659171,0.394696,1.227057,3.322909
91.999998,1.711637,-0.548642,-0.346244,-1.149904,2.288363,0.748642,0.346244,1.149904,2.884327
92.999998,1.689067,-0.643821,-0.312941,-1.092813,2.310933,0.843821,0.312941,1.092813,2.584346
93.999998,1.665232,-0.743538,-0.290471,-1.051641,2.334768,0.943538,0.290471,1.051641,2.380642
94.999998,1.640248,-0.846704,-0.275498,-1.022524,2.359752,1.046704,0.275498,1.022524,2.242908
95.999998,1.614307,-0.952405,-0.265561,-1.002154,2.385693,1.152405,0.265561,1.002154,2.149669
96.999998,1.587624,-1.059936,-0.258930,-0.987912,2.412376,1.259936,0.258930,0.987912,2.086028
97.999998,1.560387,-1.168782,-0.254442,-0.977867,2.439613,1.368782,0.254442,0.977867,2.041927
98.999998,1.532749,-1.278579,-0.251341,-0.970670,2.467251,1.478579,0.251341,0.970670,2.010747
99.999998,1.504820,-1.389073,-0.249149,-0.965415,2.495180,1.589073,0.249149,0.965415,1.988204
