# Two Dipoles. Viscous opposite moments. $\\Reyn=1$, $x(0)=3$
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 1
# TauMode: ConstPi32 τ = 1/π^(3/2)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square
8.500000,0.724322,0.884196,2.275678,-0.884196,1.563604
8.600000,0.726748,0.876309,2.273252,-0.876309,1.535834
8.700000,0.729030,0.868313,2.270970,-0.868313,1.507935
8.800000,0.731170,0.860220,2.268830,-0.860220,1.479956
8.900000,0.733173,0.852039,2.266827,-0.852039,1.451940
9.000000,0.735041,0.843781,2.264959,-0.843781,1.423933
9.100000,0.736780,0.835457,2.263220,-0.835457,1.395976
9.200000,0.738392,0.827076,2.261608,-0.827076,1.368109
9.300000,0.739882,0.818648,2.260118,-0.818648,1.340370
9.400000,0.741253,0.810184,2.258747,-0.810184,1.312795
9.500000,0.742509,0.801691,2.257491,-0.801691,1.285418
9.600000,0.743653,0.793180,2.256347,-0.793180,1.258269
9.700000,0.744690,0.784659,2.255310,-0.784659,1.231378
9.800000,0.745622,0.776135,2.254378,-0.776135,1.204772
9.900000,0.746454,0.767618,2.253546,-0.767618,1.178476
10.000000,0.747189,0.759115,2.252811,-0.759115,1.152511
10.100000,0.747831,0.750633,2.252169,-0.750633,1.126899
10.200000,0.748382,0.742178,2.251618,-0.742178,1.101656
10.300000,0.748846,0.733758,2.251154,-0.733758,1.076801
10.400000,0.749226,0.725378,2.250774,-0.725378,1.052346
10.500000,0.749526,0.717044,2.250474,-0.717044,1.028304
10.600000,0.749748,0.708762,2.250252,-0.708762,1.004686
10.700000,0.749896,0.700536,2.250104,-0.700536,0.981501
10.800000,0.749972,0.692371,2.250028,-0.692371,0.958755
10.900000,0.749980,0.684271,2.250020,-0.684271,0.936455
11.000000,0.749922,0.676241,2.250078,-0.676241,0.914605
11.100000,0.749801,0.668284,2.250199,-0.668284,0.893207
11.200000,0.749619,0.660403,2.250381,-0.660403,0.872265
11.300000,0.749380,0.652601,2.250620,-0.652601,0.851777
11.400000,0.749085,0.644882,2.250915,-0.644882,0.831745
11.500000,0.748737,0.637246,2.251263,-0.637246,0.812165
11.600000,0.748338,0.629697,2.251662,-0.629697,0.793037
11.700000,0.747891,0.622237,2.252109,-0.622237,0.774357
11.800000,0.747398,0.614866,2.252602,-0.614866,0.756122
11.900000,0.746861,0.607588,2.253139,-0.607588,0.738325
12.000000,0.746282,0.600402,2.253718,-0.600402,0.720964
12.100000,0.745662,0.593309,2.254338,-0.593309,0.704032
12.200000,0.745005,0.586311,2.254995,-0.586311,0.687522
12.300000,0.744311,0.579409,2.255689,-0.579409,0.671429
12.400000,0.743583,0.572602,2.256417,-0.572602,0.655746
12.500000,0.742822,0.565891,2.257178,-0.565891,0.640465
12.600000,0.742030,0.559276,2.257970,-0.559276,0.625579
12.700000,0.741209,0.552757,2.258791,-0.552757,0.611080
12.800000,0.740359,0.546334,2.259641,-0.546334,0.596962
12.900000,0.739483,0.540007,2.260517,-0.540007,0.583215
13.000000,0.738582,0.533775,2.261418,-0.533775,0.569832
13.100000,0.737658,0.527638,2.262342,-0.527638,0.556804
13.200000,0.736711,0.521596,2.263289,-0.521596,0.544125
13.300000,0.735743,0.515647,2.264257,-0.515647,0.531784
13.400000,0.734755,0.509792,2.265245,-0.509792,0.519775
13.500000,0.733748,0.504028,2.266252,-0.504028,0.508089
13.600000,0.732724,0.498357,2.267276,-0.498357,0.496719
13.700000,0.731684,0.492775,2.268316,-0.492775,0.485655
13.800000,0.730628,0.487284,2.269372,-0.487284,0.474891
13.900000,0.729558,0.481881,2.270442,-0.481881,0.464418
14.000000,0.728474,0.476565,2.271526,-0.476565,0.454229
14.100000,0.727377,0.471336,2.272623,-0.471336,0.444316
14.200000,0.726269,0.466193,2.273731,-0.466193,0.434671
14.300000,0.725150,0.461133,2.274850,-0.461133,0.425288
14.400000,0.724021,0.456157,2.275979,-0.456157,0.416158
14.500000,0.722883,0.451262,2.277117,-0.451262,0.407276
14.600000,0.721736,0.446449,2.278264,-0.446449,0.398633
14.700000,0.720582,0.441715,2.279418,-0.441715,0.390224
14.800000,0.719420,0.437059,2.280580,-0.437059,0.382041
