# Two Dipoles from onedisk
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_rz,d1_mx,d1_my,d1_mz,d2_rx,d2_ry,d2_rz,d2_mx,d2_my,d2_mz,sum_zeta_square
17.500000,-0.038772,0.188233,0.133152,0.780546,0.666677,0.008080,-0.127530,0.297543,0.136057,-0.821546,-0.583677,0.056920,2.072632
18.000000,-0.040106,0.194071,0.136965,0.767683,0.682526,0.008515,-0.131088,0.301574,0.139937,-0.808683,-0.599526,0.056485,2.071840
18.500000,-0.041459,0.199932,0.140777,0.754505,0.698108,0.008960,-0.134627,0.305582,0.143816,-0.795505,-0.615108,0.056040,2.071039
19.000000,-0.042831,0.205814,0.144590,0.741018,0.713417,0.009415,-0.138149,0.309568,0.147694,-0.782018,-0.630417,0.055585,2.070230
19.500000,-0.044223,0.211717,0.148404,0.727228,0.728448,0.009878,-0.141651,0.313531,0.151572,-0.768228,-0.645448,0.055122,2.069412
20.000000,-0.045634,0.217641,0.152219,0.713140,0.743194,0.010350,-0.145135,0.317472,0.155449,-0.754140,-0.660194,0.054650,2.068585
20.500000,-0.047066,0.223585,0.156034,0.698760,0.757650,0.010831,-0.148598,0.321391,0.159326,-0.739760,-0.674650,0.054169,2.067749
21.000000,-0.048518,0.229549,0.159850,0.684095,0.771809,0.011321,-0.152042,0.325289,0.163201,-0.725095,-0.688809,0.053679,2.066904
21.500000,-0.049992,0.235533,0.163667,0.669150,0.785665,0.011818,-0.155465,0.329167,0.167076,-0.710150,-0.702665,0.053182,2.066050
22.000000,-0.051487,0.241536,0.167484,0.653931,0.799214,0.012324,-0.158867,0.333024,0.170951,-0.694931,-0.716214,0.052676,2.065187
22.499999,-0.053004,0.247557,0.171302,0.638446,0.812449,0.012838,-0.162247,0.336861,0.174824,-0.679446,-0.729449,0.052162,2.064315
22.999999,-0.054543,0.253597,0.175121,0.622700,0.825366,0.013359,-0.165606,0.340678,0.178697,-0.663700,-0.742366,0.051641,2.063434
23.499999,-0.056105,0.259655,0.178940,0.606700,0.837959,0.013888,-0.168942,0.344477,0.182569,-0.647700,-0.754959,0.051112,2.062544
23.999999,-0.057689,0.265730,0.182760,0.590453,0.850223,0.014424,-0.172256,0.348257,0.186441,-0.631453,-0.767223,0.050576,2.061644
24.499999,-0.059297,0.271821,0.186581,0.573965,0.862154,0.014967,-0.175546,0.352018,0.190311,-0.614965,-0.779154,0.050033,2.060735
24.999999,-0.060929,0.277929,0.190403,0.557244,0.873746,0.015517,-0.178813,0.355762,0.194181,-0.598244,-0.790746,0.049483,2.059817
25.499999,-0.062584,0.284053,0.194225,0.540296,0.884995,0.016073,-0.182057,0.359489,0.198050,-0.581296,-0.801995,0.048927,2.058890
25.999999,-0.064264,0.290193,0.198048,0.523129,0.895897,0.016635,-0.185276,0.363198,0.201918,-0.564129,-0.812897,0.048365,2.057953
26.499999,-0.065968,0.296347,0.201872,0.505749,0.906446,0.017204,-0.188471,0.366892,0.205785,-0.546749,-0.823446,0.047796,2.057007
26.999999,-0.067697,0.302516,0.205697,0.488164,0.916640,0.017778,-0.191640,0.370569,0.209652,-0.529164,-0.833640,0.047222,2.056051
27.499999,-0.069451,0.308698,0.209523,0.470381,0.926474,0.018358,-0.194785,0.374231,0.213517,-0.511381,-0.843474,0.046642,2.055085
27.999999,-0.071230,0.314894,0.213349,0.452408,0.935944,0.018943,-0.197904,0.377879,0.217382,-0.493408,-0.852944,0.046057,2.054109
28.499999,-0.073035,0.321104,0.217176,0.434252,0.945046,0.019533,-0.200997,0.381512,0.221246,-0.475252,-0.862046,0.045467,2.053124
28.999999,-0.074866,0.327325,0.221004,0.415920,0.953777,0.020128,-0.204064,0.385131,0.225109,-0.456920,-0.870778,0.044872,2.052129
29.499999,-0.076723,0.333558,0.224833,0.397421,0.962134,0.020727,-0.207105,0.388737,0.228971,-0.438421,-0.879134,0.044273,2.051124
29.999999,-0.078606,0.339803,0.228663,0.378761,0.970113,0.021331,-0.210119,0.392330,0.232833,-0.419761,-0.887113,0.043669,2.050109
30.499999,-0.080515,0.346059,0.232493,0.359949,0.977711,0.021939,-0.213106,0.395911,0.236693,-0.400949,-0.894711,0.043061,2.049084
30.999999,-0.082452,0.352325,0.236324,0.340993,0.984924,0.022550,-0.216066,0.399481,0.240552,-0.381993,-0.901924,0.042450,2.048049
31.499999,-0.084415,0.358601,0.240157,0.321900,0.991752,0.023165,-0.218998,0.403039,0.244411,-0.362900,-0.908752,0.041835,2.047004
31.999999,-0.086405,0.364886,0.243990,0.302678,0.998190,0.023784,-0.221903,0.406587,0.248269,-0.343678,-0.915190,0.041216,2.045948
32.499999,-0.088423,0.371180,0.247823,0.283336,1.004236,0.024405,-0.224779,0.410124,0.252125,-0.324336,-0.921236,0.040595,2.044882
32.999999,-0.090468,0.377482,0.251658,0.263880,1.009888,0.025029,-0.227628,0.413653,0.255981,-0.304880,-0.926888,0.039971,2.043805
33.499999,-0.092541,0.383792,0.255494,0.244321,1.015144,0.025655,-0.230448,0.417172,0.259836,-0.285321,-0.932144,0.039345,2.042717
33.999999,-0.094642,0.390109,0.259330,0.224664,1.020002,0.026284,-0.233240,0.420683,0.263690,-0.265664,-0.937002,0.038716,2.041619
34.499999,-0.096770,0.396432,0.263167,0.204919,1.024461,0.026915,-0.236002,0.424186,0.267543,-0.245919,-0.941461,0.038085,2.040510
34.999999,-0.098926,0.402762,0.267006,0.185094,1.028517,0.027547,-0.238736,0.427683,0.271395,-0.226094,-0.945517,0.037453,2.039391
